CAP_Round,College Code,Institute,Location,Status,Branch Code,Branch,DEFOPENS_Rank,DEFOBCS_Rank,DEFROBCS_Rank,DEFRNT1S_Rank,DEFRNT2S_Rank,DEFRNT3S_Rank,DEFRSCS_Rank,DEFRVJS_Rank,EWS_Rank,GNT1H_Rank,GNT1O_Rank,GNT1S_Rank,GNT2H_Rank,GNT2O_Rank,GNT2S_Rank,GNT3H_Rank,GNT3O_Rank,GNT3S_Rank,GOBCO_Rank,GOBCS_Rank,GOBCH_Rank,GOPENH_Rank,GOPENO_Rank,GOPENS_Rank,GSCH_Rank,GSCO_Rank,GSCS_Rank,GSTH_Rank,GSTO_Rank,GSTS_Rank,GVJH_Rank,GVJO_Rank,GVJS_Rank,LNT1O_Rank,LNT1S_Rank,LNT2O_Rank,LNT2S_Rank,LNT3O_Rank,LNT3S_Rank,LOBCO_Rank,LOBCS_Rank,LOBCH_Rank,LOPENH_Rank,LOPENO_Rank,LOPENS_Rank,LSCH_Rank,LSCO_Rank,LSCS_Rank,LSTH_Rank,LSTO_Rank,LSTS_Rank,LVJH_Rank,LVJO_Rank,LVJS_Rank,MI_Rank,ORPHAN_Rank,PWDOPENH_Rank,PWDOPENS_Rank,PWDROBC_Rank,PWDROBCS_Rank,PWDRNT3S_Rank,PWDRSCS_Rank,PWDSCS_Rank,PWDRVJS_Rank,TFWS_Rank,DEFOPENS_Percentile,DEFOBCS_Percentile,DEFROBCS_Percentile,DEFRNT1S_Percentile,DEFRNT2S_Percentile,DEFRNT3S_Percentile,DEFRSCS_Percentile,DEFRVJS_Percentile,EWS_Percentile,GNT1H_Percentile,GNT1O_Percentile,GNT1S_Percentile,GNT2H_Percentile,GNT2O_Percentile,GNT2S_Percentile,GNT3H_Percentile,GNT3O_Percentile,GNT3S_Percentile,GOBCO_Percentile,GOBCS_Percentile,GOBCH_Percentile,GOPENH_Percentile,GOPENO_Percentile,GOPENS_Percentile,GSCH_Percentile,GSCO_Percentile,GSCS_Percentile,GSTH_Percentile,GSTO_Percentile,GSTS_Percentile,GVJH_Percentile,GVJO_Percentile,GVJS_Percentile,LNT1O_Percentile,LNT1S_Percentile,LNT2O_Percentile,LNT2S_Percentile,LNT3O_Percentile,LNT3S_Percentile,LOBCO_Percentile,LOBCS_Percentile,LOBCH_Percentile,LOPENH_Percentile,LOPENO_Percentile,LOPENS_Percentile,LSCH_Percentile,LSCO_Percentile,LSCS_Percentile,LSTH_Percentile,LSTO_Percentile,LSTS_Percentile,LVJH_Percentile,LVJO_Percentile,LVJS_Percentile,MI_Percentile,ORPHAN_Percentile,PWDOPENH_Percentile,PWDOPENS_Percentile,PWDROBC_Percentile,PWDROBCS_Percentile,PWDRNT3S_Percentile,PWDRSCS_Percentile,PWDSCS_Percentile,PWDRVJS_Percentile,TFWS_Percentile
1,1002,"Government College of Engineering, Amravati",Amravati,Government Autonomous,100219110,Civil Engineering,114710,Null,Null,Null,Null,Null,Null,Null,51497,Null,Null,55202,Null,Null,47207,Null,Null,58799,Null,55212,Null,Null,Null,45820,Null,Null,54803,Null,Null,85528,Null,Null,53198,Null,71604,Null,59895,Null,85506,Null,50933,Null,Null,Null,39555,Null,Null,58069,Null,Null,81275,Null,Null,55889,Null,Null,Null,66222,Null,Null,Null,Null,Null,Null,25437,36.1619626,Null,Null,Null,Null,Null,Null,Null,78.0675570,Null,Null,76.2843676,Null,Null,79.8081214,Null,Null,74.1935484,Null,76.2843676,Null,Null,Null,80.7328826,Null,Null,76.6166542,Null,Null,58.7429854,Null,Null,76.9213416,Null,67.3938217,Null,73.6426530,Null,58.7429854,Null,78.3308876,Null,Null,Null,83.4053417,Null,Null,75.0737739,Null,Null,61.4332053,Null,Null,75.8673530,Null,Null,Null,70.5106049,Null,Null,Null,Null,Null,Null,89.6901790
1,1002,"Government College of Engineering, Amravati",Amravati,Government Autonomous,100224210,Computer Science and Engineering,14766,Null,16792,Null,Null,Null,Null,Null,10297,Null,Null,13430,Null,Null,10052,Null,Null,15513,Null,7626,Null,Null,Null,6839,Null,Null,14995,Null,Null,42063,Null,Null,10351,Null,Null,Null,Null,Null,Null,Null,8159,Null,Null,Null,7359,Null,Null,18093,Null,Null,46043,Null,Null,Null,Null,Null,Null,41373,Null,Null,Null,Null,Null,Null,6790,94.1664477,Null,93.2969235,Null,Null,Null,Null,Null,95.9738402,Null,Null,94.6808113,Null,Null,96.0633178,Null,Null,93.8260094,Null,97.0482604,Null,Null,Null,97.3642653,Null,Null,94.0441452,Null,Null,82.3107244,Null,Null,95.9541871,Null,Null,Null,Null,Null,Null,Null,96.8581856,Null,Null,Null,97.1523959,Null,Null,92.7333060,Null,Null,80.6210251,Null,Null,Null,Null,Null,Null,82.4643661,Null,Null,Null,Null,Null,Null,97.3792778
1,1002,"Government College of Engineering, Amravati",Amravati,Government Autonomous,100224610,Information Technology,30013,Null,30456,Null,Null,Null,Null,Null,12526,Null,Null,16268,Null,Null,12552,Null,Null,16999,Null,11044,Null,Null,Null,10303,Null,Null,18667,Null,Null,43516,Null,Null,23597,Null,16115,Null,12233,Null,Null,Null,10354,Null,Null,Null,9567,Null,Null,21001,Null,Null,55122,Null,Null,Null,Null,Null,Null,66253,Null,Null,Null,71173,Null,Null,9138,87.6984872,Null,87.4817577,Null,Null,Null,Null,Null,95.0827713,Null,Null,93.5213570,Null,Null,95.0744473,Null,Null,93.2108027,Null,95.6795422,Null,Null,Null,95.9738402,Null,Null,92.4862529,Null,Null,81.8534982,Null,Null,90.4575998,Null,93.5868331,Null,95.2175544,Null,Null,Null,95.9541871,Null,Null,Null,96.2787373,Null,Null,91.4895289,Null,Null,76.2843676,Null,Null,Null,Null,Null,Null,70.5106049,Null,Null,Null,67.7119280,Null,Null,96.4414768
1,1002,"Government College of Engineering, Amravati",Amravati,Government Autonomous,100229310,Electrical Engineering,92685,Null,Null,Null,Null,Null,Null,Null,37774,Null,Null,42146,Null,Null,47720,Null,Null,Null,Null,34759,Null,Null,Null,31193,Null,Null,45777,Null,Null,92626,Null,Null,39357,Null,Null,Null,Null,Null,87211,Null,31414,Null,Null,Null,26636,Null,Null,34812,Null,Null,121868,Null,Null,32994,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,24140,54.0043616,Null,Null,Null,Null,Null,Null,Null,84.2884307,Null,Null,82.2515860,Null,Null,79.7807688,Null,Null,Null,Null,85.4752553,Null,Null,Null,87.2113119,Null,Null,80.7328826,Null,Null,54.0043616,Null,Null,83.4300164,Null,Null,Null,Null,Null,58.0840122,Null,87.0556299,Null,Null,Null,89.1600241,Null,Null,85.4752553,Null,Null,29.2444305,Null,Null,86.3550668,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,90.1850615
1,1002,"Government College of Engineering, Amravati",Amravati,Government Autonomous,100237210,Electronics and Telecommunication Engg,50151,Null,62434,Null,Null,Null,Null,Null,20602,Null,Null,17854,Null,Null,21528,Null,Null,30062,Null,17589,Null,Null,Null,16356,Null,Null,27969,Null,Null,89313,Null,Null,30699,Null,Null,Null,22022,Null,Null,Null,16887,Null,Null,Null,14555,Null,Null,25655,Null,Null,81186,Null,Null,41670,Null,Null,Null,129864,Null,Null,Null,Null,Null,Null,14528,78.4161664,Null,72.3940120,Null,Null,Null,Null,Null,91.7108778,Null,Null,92.8593873,Null,Null,91.2629338,Null,Null,87.6984872,Null,93.0014674,Null,Null,Null,93.4958740,Null,Null,88.5960295,Null,Null,56.6563970,Null,Null,87.3774785,Null,Null,Null,91.0376802,Null,Null,Null,93.2464234,Null,Null,Null,94.2498036,Null,Null,89.5231349,Null,Null,61.6397637,Null,Null,82.4443082,Null,Null,Null,20.1485207,Null,Null,Null,Null,Null,Null,94.2498036
1,1002,"Government College of Engineering, Amravati",Amravati,Government Autonomous,100246610,Instrumentation Engineering,Null,Null,Null,Null,Null,Null,Null,Null,51922,Null,Null,Null,Null,Null,64948,Null,Null,Null,Null,60742,Null,Null,Null,52017,Null,Null,70454,Null,Null,113354,Null,Null,110749,Null,73493,Null,Null,Null,Null,Null,60133,Null,Null,Null,49557,Null,Null,73669,Null,Null,108341,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,36146,Null,Null,Null,Null,Null,Null,Null,Null,77.9969992,Null,Null,Null,Null,Null,71.2687819,Null,Null,Null,Null,73.3779089,Null,Null,Null,77.9969992,Null,Null,68.3823818,Null,Null,37.6936381,Null,Null,39.9066862,Null,66.4309764,Null,Null,Null,Null,Null,73.4246062,Null,Null,Null,78.8754662,Null,Null,66.4309764,Null,Null,42.4233825,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,85.1537884
1,1002,"Government College of Engineering, Amravati",Amravati,Government Autonomous,100261210,Mechanical Engineering,Null,Null,Null,Null,Null,Null,Null,Null,42232,Null,Null,47365,Null,Null,50166,Null,Null,56879,Null,43574,Null,Null,Null,38651,Null,Null,61419,Null,Null,117713,Null,Null,56910,Null,Null,Null,49939,Null,Null,Null,55239,Null,Null,Null,41931,Null,Null,59704,Null,Null,106253,Null,Null,72354,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,30370,Null,Null,Null,Null,Null,Null,Null,Null,82.2515860,Null,Null,79.8081214,Null,Null,78.4161664,Null,Null,75.1725431,Null,81.8534982,Null,Null,Null,84.0516274,Null,Null,73.1851907,Null,Null,33.2472877,Null,Null,75.1725431,Null,Null,Null,78.5775598,Null,Null,Null,76.2843676,Null,Null,Null,82.3107244,Null,Null,73.6426530,Null,Null,43.5071268,Null,Null,66.9527897,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,87.5056399
1,1005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100550310,Food Technology,Null,Null,Null,Null,Null,Null,Null,Null,109617,131711,Null,Null,Null,Null,Null,Null,104503,Null,Null,Null,85735,80967,37258,Null,84577,49613,Null,Null,Null,Null,141262,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,85239,76696,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,63559,Null,Null,Null,Null,Null,Null,Null,Null,40.6521983,17.8500207,Null,Null,Null,Null,Null,Null,45.6445719,Null,Null,Null,58.7429854,61.6397637,84.4681938,Null,59.8623853,78.7120349,Null,Null,Null,Null,3.8552498,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,58.8704519,64.4512569,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,71.8303504
1,1005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100551710,Oil and Paints Technology,Null,Null,Null,Null,Null,Null,Null,Null,99207,Null,Null,Null,Null,Null,Null,Null,Null,Null,103504,Null,127354,116850,Null,Null,124862,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,73995,123353,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,49.4761567,Null,Null,Null,Null,Null,Null,Null,Null,Null,45.9664342,Null,22.9499823,34.1365462,Null,Null,26.0127532,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,66.3914919,27.3241113,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1,1005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100552410,Paper and Pulp Technology,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,121366,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,29.4111028,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
