CAP_Round,College Code,Institute,Location,Status,Branch Code,Branch,DEFOPENS_Rank,DEFOBCS_Rank,DEFROBCS_Rank,DEFRNT1S_Rank,DEFRNT2S_Rank,DEFRNT3S_Rank,DEFRSCS_Rank,DEFRVJS_Rank,EWS_Rank,GNT1H_Rank,GNT1O_Rank,GNT1S_Rank,GNT2H_Rank,GNT2O_Rank,GNT2S_Rank,GNT3H_Rank,GNT3O_Rank,GNT3S_Rank,GOBCO_Rank,GOBCS_Rank,GOBCH_Rank,GOPENH_Rank,GOPENO_Rank,GOPENS_Rank,GSCH_Rank,GSCO_Rank,GSCS_Rank,GSTH_Rank,GSTO_Rank,GSTS_Rank,GVJH_Rank,GVJO_Rank,GVJS_Rank,LNT1O_Rank,LNT1S_Rank,LNT2O_Rank,LNT2S_Rank,LNT3O_Rank,LNT3S_Rank,LOBCO_Rank,LOBCS_Rank,LOBCH_Rank,LOPENH_Rank,LOPENO_Rank,LOPENS_Rank,LSCH_Rank,LSCO_Rank,LSCS_Rank,LSTH_Rank,LSTO_Rank,LSTS_Rank,LVJH_Rank,LVJO_Rank,LVJS_Rank,MI_Rank,ORPHAN_Rank,PWDOPENH_Rank,PWDOPENS_Rank,PWDROBC_Rank,PWDROBCS_Rank,PWDRNT2SPWDRNT3S_Rank,PWDRSCS_Rank,PWDSCS_Rank,PWDRVJS_Rank,TFWS_Rank,DEFOPENS_Percentile,DEFOBCS_Percentile,DEFROBCS_Percentile,DEFRNT1S_Percentile,DEFRNT2S_Percentile,DEFRNT3S_Percentile,DEFRSCS_Percentile,DEFRVJS_Percentile,EWS_Percentile,GNT1H_Percentile,GNT1O_Percentile,GNT1S_Percentile,GNT2H_Percentile,GNT2O_Percentile,GNT2S_Percentile,GNT3H_Percentile,GNT3O_Percentile,GNT3S_Percentile,GOBCO_Percentile,GOBCS_Percentile,GOBCH_Percentile,GOPENH_Percentile,GOPENO_Percentile,GOPENS_Percentile,GSCH_Percentile,GSCO_Percentile,GSCS_Percentile,GSTH_Percentile,GSTO_Percentile,GSTS_Percentile,GVJH_Percentile,GVJO_Percentile,GVJS_Percentile,LNT1O_Percentile,LNT1S_Percentile,LNT2O_Percentile,LNT2S_Percentile,LNT3O_Percentile,LNT3S_Percentile,LOBCO_Percentile,LOBCS_Percentile,LOBCH_Percentile,LOPENH_Percentile,LOPENO_Percentile,LOPENS_Percentile,LSCH_Percentile,LSCO_Percentile,LSCS_Percentile,LSTH_Percentile,LSTO_Percentile,LSTS_Percentile,LVJH_Percentile,LVJO_Percentile,LVJS_Percentile,MI_Percentile,ORPHAN_Percentile,PWDOPENH_Percentile,PWDOPENS_Percentile,PWDROBC_Percentile,PWDROBCS_Percentile,PWDRNT2SPWDRNT3S_Percentile,PWDRSCS_Percentile,PWDSCS_Percentile,PWDRVJS_Percentile,TFWS_Percentile
2,1002,"Government College of Engineering, Amravati",Amravati,Government Autonomous,100219110,Civil Engineering,55489,Null,Null,Null,Null,Null,Null,Null,44019,Null,Null,Null,Null,Null,56019,Null,Null,67376,Null,47176,Null,Null,Null,45068,Null,Null,Null,Null,Null,62198,Null,Null,Null,Null,Null,Null,67267,Null,Null,Null,40903,Null,Null,Null,38817,Null,Null,Null,Null,Null,70583,Null,Null,42139,Null,48315,Null,132109,Null,Null,Null,Null,Null,Null,36423,76.0463981,Null,Null,Null,Null,Null,Null,Null,81.2345291,Null,Null,Null,Null,Null,75.8673530,Null,Null,69.6924231,Null,79.8081214,Null,Null,Null,81.0090469,Null,Null,Null,Null,Null,72.6119403,Null,Null,Null,Null,Null,Null,69.6924231,Null,Null,Null,83.0041152,Null,Null,Null,83.8780770,Null,Null,Null,Null,Null,68.3823818,Null,Null,82.2515860,Null,79.5863208,Null,17.5985227,Null,Null,Null,Null,Null,Null,84.9532361
2,1002,"Government College of Engineering, Amravati",Amravati,Government Autonomous,100224210,Computer Science and Engineering,Null,Null,Null,Null,Null,Null,Null,Null,10039,Null,Null,Null,Null,Null,Null,Null,Null,16999,Null,6987,Null,Null,Null,6729,Null,Null,15657,Null,Null,34266,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,4564,Null,Null,Null,Null,Null,54440,Null,Null,Null,Null,7092,Null,Null,Null,Null,Null,Null,Null,Null,8433,Null,Null,Null,Null,Null,Null,Null,Null,96.0680883,Null,Null,Null,Null,Null,Null,Null,Null,93.2108027,Null,97.3291438,Null,Null,Null,97.3887196,Null,Null,93.8067312,Null,Null,85.9219677,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,98.2315536,Null,Null,Null,Null,Null,76.7173434,Null,Null,Null,Null,97.2654813,Null,Null,Null,Null,Null,Null,Null,Null,96.7339025
2,1002,"Government College of Engineering, Amravati",Amravati,Government Autonomous,100224610,Information Technology,Null,Null,26155,Null,Null,Null,Null,Null,12547,Null,Null,Null,Null,Null,11000,Null,Null,24223,Null,11739,Null,Null,Null,10554,Null,Null,18304,Null,Null,44560,Null,Null,20344,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,7642,Null,Null,20360,Null,Null,Null,Null,Null,Null,Null,11206,Null,Null,Null,Null,Null,Null,Null,Null,11559,Null,Null,89.3951296,Null,Null,Null,Null,Null,95.0827713,Null,Null,Null,Null,Null,95.6910814,Null,Null,90.1789743,Null,95.3975994,Null,Null,Null,95.8828395,Null,Null,92.6711629,Null,Null,81.1192722,Null,Null,91.7514817,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,97.0482604,Null,Null,91.7514817,Null,Null,Null,Null,Null,Null,Null,95.6542890,Null,Null,Null,Null,Null,Null,Null,Null,95.4923430
2,1002,"Government College of Engineering, Amravati",Amravati,Government Autonomous,100229310,Electrical Engineering,131259,Null,Null,Null,Null,Null,Null,Null,40631,Null,Null,Null,Null,Null,44580,Null,Null,Null,Null,35670,Null,Null,Null,28186,Null,Null,46913,Null,Null,93403,Null,Null,48417,Null,Null,Null,Null,Null,85978,Null,Null,Null,Null,Null,25067,Null,Null,35282,Null,Null,82552,Null,Null,Null,Null,32215,Null,87477,Null,Null,Null,Null,Null,Null,18889,18.2192293,Null,Null,Null,Null,Null,Null,Null,83.1704016,Null,Null,Null,Null,Null,81.1192722,Null,Null,Null,Null,85.1907088,Null,Null,Null,88.4658665,Null,Null,80.0408747,Null,Null,53.6496624,Null,Null,79.5208170,Null,Null,Null,Null,Null,58.7124464,Null,Null,Null,Null,Null,89.8061335,Null,Null,85.3534944,Null,Null,60.9799222,Null,Null,Null,Null,86.8382436,Null,58.0840122,Null,Null,Null,Null,Null,Null,92.4568642
2,1002,"Government College of Engineering, Amravati",Amravati,Government Autonomous,100237210,Electronics and Telecommunication Engg,Null,Null,Null,Null,Null,Null,Null,Null,16345,Null,Null,Null,Null,Null,Null,Null,Null,31133,Null,15122,Null,Null,Null,14528,Null,Null,27293,Null,Null,Null,Null,Null,30973,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,116855,Null,Null,Null,Null,15356,Null,Null,Null,Null,Null,Null,Null,Null,16371,Null,Null,Null,Null,Null,Null,Null,Null,93.4958740,Null,Null,Null,Null,Null,Null,Null,Null,87.2113119,Null,94.0316823,Null,Null,Null,94.2498036,Null,Null,88.8028432,Null,Null,Null,Null,Null,87.2266503,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,34.1365462,Null,Null,Null,Null,93.9373698,Null,Null,Null,Null,Null,Null,Null,Null,93.4958740
2,1002,"Government College of Engineering, Amravati",Amravati,Government Autonomous,100246610,Instrumentation Engineering,64644,Null,Null,Null,Null,Null,Null,Null,66106,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,62352,Null,Null,Null,52345,Null,Null,79348,Null,Null,64209,Null,Null,62944,Null,85417,Null,Null,Null,Null,Null,Null,Null,Null,Null,50051,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,64271,Null,Null,Null,Null,Null,Null,46217,71.3590844,Null,Null,Null,Null,Null,Null,Null,70.6180504,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,72.6119403,Null,Null,Null,77.7994669,Null,Null,62.7898492,Null,Null,71.4000828,Null,Null,71.9809302,Null,58.7429854,Null,Null,Null,Null,Null,Null,Null,Null,Null,78.5775598,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,71.4000828,Null,Null,Null,Null,Null,Null,80.6210251
2,1002,"Government College of Engineering, Amravati",Amravati,Government Autonomous,100261210,Mechanical Engineering,129672,Null,Null,Null,Null,Null,Null,Null,46753,Null,Null,45732,Null,Null,55195,Null,Null,53772,Null,45302,Null,Null,Null,40569,Null,Null,61636,Null,Null,102337,Null,Null,Null,Null,Null,Null,90999,Null,Null,Null,56729,Null,Null,Null,56026,Null,Null,80444,Null,Null,Null,Null,Null,141330,Null,45314,Null,45215,Null,Null,Null,Null,Null,Null,30957,20.3198986,Null,Null,Null,Null,Null,Null,Null,80.0793682,Null,Null,80.8641005,Null,Null,76.2843676,Null,Null,76.8390440,Null,81.0090469,Null,Null,Null,83.2373857,Null,Null,73.1851907,Null,Null,46.4534231,Null,Null,Null,Null,Null,Null,55.2985075,Null,Null,Null,75.1725431,Null,Null,Null,75.8673530,Null,Null,62.3996115,Null,Null,Null,Null,Null,3.7523084,Null,80.9858625,Null,81.0090469,Null,Null,Null,Null,Null,Null,87.2266503
2,1005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100550310,Food Technology,59970,Null,Null,Null,Null,Null,Null,Null,106376,Null,Null,Null,Null,Null,Null,Null,128042,Null,Null,Null,107595,73995,Null,Null,109829,100653,Null,88654,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,39830,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,75293,Null,Null,Null,Null,Null,Null,Null,68388,73.4246062,Null,Null,Null,Null,Null,Null,Null,43.5071268,Null,Null,Null,Null,Null,Null,Null,22.0314735,Null,Null,Null,42.5955447,66.3914919,Null,Null,40.6521983,48.0589023,Null,56.7405028,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,83.3890161,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,65.3263316,Null,Null,Null,Null,Null,Null,Null,69.3042857
2,1005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100551710,Oil and Paints Technology,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,62430,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,72.3940120,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
2,1005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100552410,Paper and Pulp Technology,129360,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,99606,Null,Null,Null,108240,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,134533,Null,Null,122456,Null,Null,131416,Null,Null,Null,Null,90400,Null,Null,Null,Null,Null,Null,Null,Null,20.9244385,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,49.2213366,Null,Null,Null,42.4233825,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,13.8442673,Null,Null,28.3793174,Null,Null,18.2192293,Null,Null,Null,Null,55.7163295,Null,Null,Null,Null,Null,Null,Null,Null
