order,college_code,Institute
1,6006,COEP Technological University
2,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai"
3,3036,"Institute of Chemical Technology, Matunga, Mumbai"
4,3014,"Sardar Patel College of Engineering, Andheri"
5,3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai"
6,6271,"Pune Institute of Computer Technology, Dhankavdi, Pune"
7,6007,"Walchand College of Engineering, Sangli"
8,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai"
9,6273,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune"
10,6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune"
11,3182,"Thadomal Shahani Engineering College, Bandra, Mumbai"
12,6276,"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune"
13,4115,"Shri Ramdeobaba College of Engineering and Management, Nagpur"
14,2008,"Government College of Engineering, Aurangabad"
15,6289,"B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune"
16,6274,"Pune Vidyarthi Griha's College of Engineering and Technology and G K Pate(Wani) Institute of Management, Pune"
17,3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai"
18,2021,"University Department of Chemical Technology, Aurangabad"
19,2032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna"
20,6005,"Government College of Engineering, Karad"
21,3209,K J Somaiya Institute of Technology
22,1002,"Government College of Engineering, Amravati"
23,3184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai"
24,3139,"Vidyalankar Institute of Technology,Wadala, Mumbai"
25,3197,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai"
26,6822,"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet"
27,4025,"Government College of Engineering, Nagpur"
28,4005,"Laxminarayan Institute of Technology, Nagpur"
29,6146,"MIT Academy of Engineering,Alandi, Pune"
30,3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai"
31,6278,"All India Shri Shivaji Memorial Society's College of Engineering, Pune"
32,6272,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune"
33,2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded"
34,6754,"International Institute of Information Technology (I²IT), Pune."
35,6141,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune"
36,3208,"Don Bosco Institute of Technology, Mumbai"
37,3135,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai"
38,3214,"Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai"
39,3204,"St. Francis Institute of Technology,Borivali, Mumbai"
40,6004,"Government College of Engineering & Research, Avasari Khurd"
41,3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai"
42,6282,"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune"
43,6796,"Bharati Vidyapeeth's College of Engineering,Lavale, Pune"
44,6139,"Progressive Education Society's Modern College of Engineering, Pune"
45,6207,"Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil Institute of Technology, Pimpri, Pune"
46,4167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur"
47,3194,"Vidyavardhini's College of Engineering and Technology, Vasai"
48,6156,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune"
49,3189,"Bharati Vidyapeeth College of Engineering, Navi Mumbai"
